aircraft_id,report_date,aircraft_model,operator,flight_phase,cruise_altitude_ft,flight_conditions,weather_conditions,component_name,component_status,anomaly_type,root_cause,maintenance_outcome,base_location,airport_code,crew_experience,contributing_factors,report_summary,health_status,alert_active,flight_hours,report_year,report_month
1087745,2013-05-01,Widebody Transport,Unknown,Parked,0.0,Unknown,unknown,unknown,Unknown,deviation / discrepancy - procedural other / unknown,Ambiguous,general none reported / taken,fo,zzzz.airport,unknown,aircraft; procedure; manuals; company policy,air carrier captain is informed of lithium batteries loaded in lower forward cargo compartment; which only has halon as the fire suppression agent and is not effective against lithium battery fires.,Normal,False,11947,2013,5
797742,2008-07-01,Medium Transport; Low Wing; 2 Turbojet Eng,Corporate,Initial Approach,2000.0,Marginal,fog; 9,unknown,Unknown,atc issue all types; deviation / discrepancy - procedural published material / policy,Human Factors,general none reported / taken,ca,sba.airport,unknown,aircraft,sba tracon ctlr voiced concern regarding twr actions; when tracon missed apch instructions were countered by twr's attempt to issue a visual apch.,Normal,False,8511,2008,7
650514,2005-03-01,B717 (Formerly Md-95),Air Carrier,Initial Approach,3000.0,Vmc,unknown,autoflight system,Improperly Operated,aircraft equipment problem less severe; conflict airborne conflict; deviation - track / heading all types; deviation / discrepancy - procedural clearance; deviation / discrepancy - procedural published material / policy,Human Factors,flight crew overrode automation,tx,dfw.airport,flight crew last 90 days 126.5; flight crew total 14440; flight crew type 126.5,aircraft; human factors; environment - non weather related,b717 autoflt sys flies through loc without capture on rwy 18r at dfw.,Warning,True,14440,2005,3
701502,2006-06-01,Beech 1900,Air Taxi,Initial Climb,7000.0,Vmc,unknown,nacelle/pylon skin,Improperly Operated; Failed,aircraft equipment problem less severe; deviation / discrepancy - procedural maintenance,Human Factors,air traffic control provided assistance; aircraft aircraft damaged; flight crew landed as precaution; general maintenance action,ny,vgt.airport,flight crew last 90 days 230; flight crew total 8600; flight crew type 1100,aircraft; human factors,be1900d flt crew has the eng cowling open during clb; returns for lndg.,Warning,True,8600,2006,6
716726,2006-11-01,Amateur/Home Built/Experimental,Personal,Cruise,0.0,Vmc,10,engine,Failed,aircraft equipment problem critical; other off field landing,Aircraft,general none reported / taken,mn,mn69.airport,flight crew last 90 days 8; flight crew total 25000; flight crew type 270,aircraft; human factors,searey amphibian plt makes an off field lndg due to pwr loss.,Critical,True,25000,2006,11
1153487,2014-03-01,Commercial Fixed Wing,Air Carrier,Descent,11000.0,Unknown,unknown,unknown,Unknown,atc issue all types; deviation - altitude excursion from assigned altitude; deviation / discrepancy - procedural clearance,Human Factors,air traffic control issued new clearance; air traffic control issued advisory / alert,in,sbn.airport,unknown,human factors; procedure; chart or publication,sbn approach controller reports many pilots becoming confused during the fissk 2 rnav arrival into mdw and descending before being cleared to do so. a descend via clearance is never issued for this arrival due to the loa with chicago approach and the reporter believes the altitude restrictions at hills and sailz should be changed to expect altitudes.,Normal,False,1317,2014,3
836708,2009-05-01,Citation Excel (C560Xl),Fractional,Cruise,16000.0,Vmc,20,unknown,Unknown,inflight event / encounter wake vortex encounter,Human Factors,general none reported / taken,us,zzz.tracon,flight crew last 90 days 120; flight crew total 6500; flight crew type 900,human factors; environment - non weather related,a ce560xl first officer reported a wake encounter with a b737 that rolled the aircraft to the right.  the reporter stated the incident could have been avoided if atc had been clearer about the relative tracks of the aircraft involved.,Normal,False,6500,2009,5
692978,2006-04-01,Dc-10 Undifferentiated Or Other Model,Air Carrier,Climb,28000.0,Vmc,unknown,unknown,Unknown,aircraft equipment problem critical,Aircraft,flight crew diverted; flight crew landed as precaution; general declared emergency; general maintenance action,us,zzz.airport,flight crew last 90 days 120; flight crew total 10000; flight crew type 600,aircraft; human factors,md11 flt crew has failure of the #3 eng during clb; declares emer and returns for lndg.,Critical,True,10000,2006,4
827223,2009-03-01,A319,Air Carrier,Cruise,36000.0,Vmc,unknown,hydraulic fluid,Unknown,aircraft equipment problem less severe,Aircraft,general declared emergency,us,zzz.airport,flight crew last 90 days 70; flight crew total 18000; flight crew type 200,aircraft,a319 flight crew report yellow hydraulic system failure at fl360. after conferring with maintenance crew elects to continue to destination for uneventful landing.,Warning,True,18000,2009,3
657825,2005-05-01,A320,Air Carrier,Initial Climb; Takeoff / Launch,8000.0,Unknown,unknown,circuit breaker / fuse / thermocouple,Improperly Operated,aircraft equipment problem less severe; deviation / discrepancy - procedural published material / policy; deviation / discrepancy - procedural mel / cdl; deviation / discrepancy - procedural far; deviation / discrepancy - procedural maintenance,Human Factors,general maintenance action,nv,las.airport,maintenance technician 17,company policy; human factors; aircraft,running behind schedule due to maint; a320 returns to dep station after receiving multiple ecam error messages. discover circuit breakers pulled for maint purposes were not reset prior to dep.,Warning,True,612,2005,5
1010007,2012-05-01,B757 Undifferentiated Or Other Model,Air Carrier,Landing,0.0,Mixed,3,unknown,Unknown,atc issue all types; aircraft equipment problem less severe; deviation / discrepancy - procedural published material / policy; inflight event / encounter cftt / cfit,Human Factors,flight crew executed go around / missed approach,us,zzz.airport,flight crew last 90 days 114; flight crew total 8487; flight crew type 2948,chart or publication; airport; environment - non weather related; human factors,unanticipated imc; no available ils and fatigue combined to cause a breakdown in crm on the flight deck; an eventual poorly managed go around for a b757-200 flight crew.,Warning,True,8487,2012,5
724641,2007-01-01,Pa-31 Navajo/Chieftan/Mojave/T1040,Air Taxi,Takeoff / Launch,0.0,Imc,snow; fog; 0.5,unknown,Unknown,no anomaly recorded,Atc Equipment / Nav Facility / Buildings,general none reported / taken,pa,agc.airport,flight crew last 90 days 200; flight crew total 1490; flight crew type 200,atc equipment / nav facility / buildings; airport,a pa31 plt notes that the agc rwy 28 loc course signal is not ctred in flt and on gnd when using rwy 28 for tkof and lndg.,Normal,False,1490,2007,1
